naics12,naics17,ratio
211111,211120,0.7539583475822447
211111,211130,0.24604165241775527
211112,211130,1
212231,212230,1
212234,212230,1
333911,333914,1
333913,333914,1
335221,335220,1
335222,335220,1
335224,335220,1
335228,335220,1
452111,452210,1
452112,452210,0.32912925564127543
452112,452311,0.6708707443587245
452910,452311,1
452990,452319,1
454111,454110,1
454112,454110,1
454113,454110,1
512210,512250,1
512220,512250,1
517110,517311,1
517210,517312,1
532220,532281,1
532230,532282,1
532291,532283,1
532292,532284,1
532299,532289,1
541711,541713,0.11690413010715904
541711,541714,0.883095869892841
541712,541713,0.23753084181955406
541712,541715,0.7624691581804459
